Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485

Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;18:17:20.383; 7.1806E-07
1/14/2021;18:17:20.385; 7.1806E-07
1/14/2021;18:17:20.387; 7.1806E-07
1/14/2021;18:17:20.389; 1.0763E-06
1/14/2021;18:17:20.391; 7.1806E-07
1/14/2021;18:17:20.394; 3.5951E-07
1/14/2021;18:17:20.397; 1.0763E-06
1/14/2021;18:17:20.398; 7.1806E-07
1/14/2021;18:17:20.400; 1.2786E-09
1/14/2021;18:17:20.402; 1.4348E-06
1/14/2021;18:17:20.404; 1.0763E-06
1/14/2021;18:17:20.405; 1.2786E-09
1/14/2021;18:17:20.407; 7.1806E-07
1/14/2021;18:17:20.409; 1.4348E-06
1/14/2021;18:17:20.411; 7.1806E-07
1/14/2021;18:17:20.413; 1.7931E-06
1/14/2021;18:17:20.415; 3.5951E-07
1/14/2021;18:17:20.417; 1.2786E-09
1/14/2021;18:17:20.419; 7.1806E-07
1/14/2021;18:17:20.421; 7.1806E-07
1/14/2021;18:17:20.423; 7.1806E-07
1/14/2021;18:17:20.425; 1.0763E-06
1/14/2021;18:17:20.428; 3.5951E-07
1/14/2021;18:17:20.430; 7.1806E-07
1/14/2021;18:17:20.432; 3.5951E-07
1/14/2021;18:17:20.433; 7.1806E-07
1/14/2021;18:17:20.435; 7.1806E-07
1/14/2021;18:17:20.437; 3.5951E-07
1/14/2021;18:17:20.438; 7.1806E-07
1/14/2021;18:17:20.440; 2.1513E-06
1/14/2021;18:17:20.442; 7.1806E-07
1/14/2021;18:17:20.444; 1.0763E-06
1/14/2021;18:17:20.446; 7.1806E-07
1/14/2021;18:17:20.449; 1.2786E-09
1/14/2021;18:17:20.451; 1.0763E-06
1/14/2021;18:17:20.453; 1.0763E-06
1/14/2021;18:17:20.455; 1.4348E-06
1/14/2021;18:17:20.456; 3.5951E-07
1/14/2021;18:17:20.458; 3.5951E-07
1/14/2021;18:17:20.460; 1.4348E-06
1/14/2021;18:17:20.462; 7.1806E-07
1/14/2021;18:17:20.463; -3.5727E-07
1/14/2021;18:17:20.465; 3.5951E-07
1/14/2021;18:17:20.467; 7.1806E-07
1/14/2021;18:17:20.469; 3.5951E-07
1/14/2021;18:17:20.471; 1.2786E-09
1/14/2021;18:17:20.473; 3.5951E-07
1/14/2021;18:17:20.475; 1.2786E-09
1/14/2021;18:17:20.478; 7.1806E-07
1/14/2021;18:17:20.480; 7.1806E-07
1/14/2021;18:17:20.482; 7.1806E-07
1/14/2021;18:17:20.484; 3.5951E-07
1/14/2021;18:17:20.486; 1.4348E-06
1/14/2021;18:17:20.488; 7.1806E-07
1/14/2021;18:17:20.490; 1.4348E-06
1/14/2021;18:17:20.491; 1.4348E-06
1/14/2021;18:17:20.493; 1.2786E-09
1/14/2021;18:17:20.495; 7.1806E-07
1/14/2021;18:17:20.497; 3.5951E-07
1/14/2021;18:17:20.499; 7.1806E-07
1/14/2021;18:17:20.501; 3.5951E-07
1/14/2021;18:17:20.502; 7.1806E-07
1/14/2021;18:17:20.504; 1.4348E-06
1/14/2021;18:17:20.506; 1.4348E-06
1/14/2021;18:17:20.508; 7.1806E-07
1/14/2021;18:17:20.510; 1.0763E-06
1/14/2021;18:17:20.512; 7.1806E-07
1/14/2021;18:17:20.514; 7.1806E-07
1/14/2021;18:17:20.516; 7.1806E-07
1/14/2021;18:17:20.518; 3.5951E-07
1/14/2021;18:17:20.520; 3.5951E-07
1/14/2021;18:17:20.522; 3.5951E-07
1/14/2021;18:17:20.524; 2.5099E-06
1/14/2021;18:17:20.526; 3.5951E-07
1/14/2021;18:17:20.529; 7.1806E-07
1/14/2021;18:17:20.531; 1.0763E-06
1/14/2021;18:17:20.533; 7.1806E-07
1/14/2021;18:17:20.534; -3.5727E-07
1/14/2021;18:17:20.536; 1.0763E-06
1/14/2021;18:17:20.538; 3.5951E-07
1/14/2021;18:17:20.540; 7.1806E-07
1/14/2021;18:17:20.542; 1.2786E-09
1/14/2021;18:17:20.544; 7.1806E-07
1/14/2021;18:17:20.546; 7.1806E-07
1/14/2021;18:17:20.548; 1.7931E-06
1/14/2021;18:17:20.550; 3.5951E-07
1/14/2021;18:17:20.552; 2.1513E-06
1/14/2021;18:17:20.554; 3.5951E-07
1/14/2021;18:17:20.556; 7.1806E-07
1/14/2021;18:17:20.557; 7.1806E-07
1/14/2021;18:17:20.559; 7.1806E-07
1/14/2021;18:17:20.561; 3.5951E-07
1/14/2021;18:17:20.563; 1.4348E-06
1/14/2021;18:17:20.565; 3.5951E-07
1/14/2021;18:17:20.567; 7.1806E-07
1/14/2021;18:17:20.569; 7.1806E-07
1/14/2021;18:17:20.571; 3.5951E-07
1/14/2021;18:17:20.573; 7.1806E-07
1/14/2021;18:17:20.575; 1.2786E-09
1/14/2021;18:17:20.577; 3.5951E-07
1/14/2021;18:17:20.579; 3.5951E-07
1/14/2021;18:17:20.582; 1.2786E-09
1/14/2021;18:17:20.585; 7.1806E-07
1/14/2021;18:17:20.587; 7.1806E-07
1/14/2021;18:17:20.589; 7.1806E-07
1/14/2021;18:17:20.591; 1.7931E-06
1/14/2021;18:17:20.593; 3.5951E-07
1/14/2021;18:17:20.596; 1.0763E-06
1/14/2021;18:17:20.598; 3.5951E-07
1/14/2021;18:17:20.600; 1.4348E-06
1/14/2021;18:17:20.602; 3.5951E-07
1/14/2021;18:17:20.604; 1.4348E-06
1/14/2021;18:17:20.606; 7.1806E-07
1/14/2021;18:17:20.608; 2.5099E-06
1/14/2021;18:17:20.610; 7.1806E-07
1/14/2021;18:17:20.612; 1.2786E-09
1/14/2021;18:17:20.614; 1.0763E-06
1/14/2021;18:17:20.616; 1.0763E-06
1/14/2021;18:17:20.618; 1.7931E-06
1/14/2021;18:17:20.619; 7.1806E-07
1/14/2021;18:17:20.621; 3.5951E-07
1/14/2021;18:17:20.622; 3.5951E-07
1/14/2021;18:17:20.625; 3.5951E-07
1/14/2021;18:17:20.627; 3.5951E-07
1/14/2021;18:17:20.629; 7.1806E-07
1/14/2021;18:17:20.631; 7.1806E-07
1/14/2021;18:17:20.634; 1.0763E-06
1/14/2021;18:17:20.636; 1.4348E-06
1/14/2021;18:17:20.638; 7.1806E-07
1/14/2021;18:17:20.640; -7.1551E-07
1/14/2021;18:17:20.642; 3.5951E-07
1/14/2021;18:17:20.644; 1.4348E-06
1/14/2021;18:17:20.646; 7.1806E-07
1/14/2021;18:17:20.648; 3.5951E-07
1/14/2021;18:17:20.650; 7.1806E-07
1/14/2021;18:17:20.652; 7.1806E-07
1/14/2021;18:17:20.654; 7.1806E-07
1/14/2021;18:17:20.656; 7.1806E-07
1/14/2021;18:17:20.658; 3.5951E-07
1/14/2021;18:17:20.660; 7.1806E-07
1/14/2021;18:17:20.662; 3.5951E-07
1/14/2021;18:17:20.664; 1.4348E-06
1/14/2021;18:17:20.666; 3.5951E-07
1/14/2021;18:17:20.668; 7.1806E-07
1/14/2021;18:17:20.670; 3.5951E-07
1/14/2021;18:17:20.672; 3.5951E-07
1/14/2021;18:17:20.674; 3.5951E-07
1/14/2021;18:17:20.676; 7.1806E-07
1/14/2021;18:17:20.678; 7.1806E-07
1/14/2021;18:17:20.680; 1.0763E-06
1/14/2021;18:17:20.682; 3.5951E-07
1/14/2021;18:17:20.684; 7.1806E-07
1/14/2021;18:17:20.686; 3.5951E-07
1/14/2021;18:17:20.688; 7.1806E-07
1/14/2021;18:17:20.690; 3.5951E-07
1/14/2021;18:17:20.691; 1.4348E-06
1/14/2021;18:17:20.693; 3.5951E-07
1/14/2021;18:17:20.695; 3.5951E-07
1/14/2021;18:17:20.697; 7.1806E-07
1/14/2021;18:17:20.699; 7.1806E-07
1/14/2021;18:17:20.701; -3.5727E-07
1/14/2021;18:17:20.703; 3.5951E-07
1/14/2021;18:17:20.705; 7.1806E-07
1/14/2021;18:17:20.707; 1.4348E-06
1/14/2021;18:17:20.709; 3.5951E-07
1/14/2021;18:17:20.711; 7.1806E-07
1/14/2021;18:17:20.713; 3.5951E-07
1/14/2021;18:17:20.715; 3.5951E-07
1/14/2021;18:17:20.718; 1.7931E-06
1/14/2021;18:17:20.719; 3.5951E-07
1/14/2021;18:17:20.721; 7.1806E-07
1/14/2021;18:17:20.723; 7.1806E-07
1/14/2021;18:17:20.724; 7.1806E-07
1/14/2021;18:17:20.726; 7.1806E-07
1/14/2021;18:17:20.728; 3.5951E-07
1/14/2021;18:17:20.730; 7.1806E-07
1/14/2021;18:17:20.732; 1.4348E-06
1/14/2021;18:17:20.734; 1.4348E-06
1/14/2021;18:17:20.736; 7.1806E-07
1/14/2021;18:17:20.738; 1.0763E-06
1/14/2021;18:17:20.740; 3.5951E-07
1/14/2021;18:17:20.742; 1.0763E-06
1/14/2021;18:17:20.744; 7.1806E-07
1/14/2021;18:17:20.746; 2.1513E-06
1/14/2021;18:17:20.748; 1.2786E-09
1/14/2021;18:17:20.750; 7.1806E-07
1/14/2021;18:17:20.752; 3.5951E-07
1/14/2021;18:17:20.754; 1.4348E-06
1/14/2021;18:17:20.756; 7.1806E-07
1/14/2021;18:17:20.759; 1.2786E-09
1/14/2021;18:17:20.761; 3.5951E-07
1/14/2021;18:17:20.763; 3.5951E-07
1/14/2021;18:17:20.765; 1.0763E-06
1/14/2021;18:17:20.767; 1.7931E-06
1/14/2021;18:17:20.769; 7.1806E-07
1/14/2021;18:17:20.771; 7.1806E-07
1/14/2021;18:17:20.773; 7.1806E-07
1/14/2021;18:17:20.775; 3.5951E-07
1/14/2021;18:17:20.777; 3.5951E-07
1/14/2021;18:17:20.779; 7.1806E-07
1/14/2021;18:17:20.781; 1.2786E-09
1/14/2021;18:17:20.783; 1.2786E-09
1/14/2021;18:17:20.786; 1.0763E-06
1/14/2021;18:17:20.788; 7.1806E-07
1/14/2021;18:17:20.790; 1.0763E-06
1/14/2021;18:17:20.792; 3.5951E-07
1/14/2021;18:17:20.794; 7.1806E-07
1/14/2021;18:17:20.796; 1.0763E-06
1/14/2021;18:17:20.798; 7.1806E-07
1/14/2021;18:17:20.800; 3.5951E-07
1/14/2021;18:17:20.802; 3.5951E-07
1/14/2021;18:17:20.804; 3.5951E-07
1/14/2021;18:17:20.806; 1.4348E-06
1/14/2021;18:17:20.808; 1.2786E-09
1/14/2021;18:17:20.810; 7.1806E-07
1/14/2021;18:17:20.813; 7.1806E-07
1/14/2021;18:17:20.815; 3.5951E-07
1/14/2021;18:17:20.816; 1.0763E-06
1/14/2021;18:17:20.818; 7.1806E-07
1/14/2021;18:17:20.820; 7.1806E-07
1/14/2021;18:17:20.822; 1.4348E-06
1/14/2021;18:17:20.824; 7.1806E-07
1/14/2021;18:17:20.826; 1.0763E-06
1/14/2021;18:17:20.828; 7.1806E-07
1/14/2021;18:17:20.830; 7.1806E-07
1/14/2021;18:17:20.832; 7.1806E-07
1/14/2021;18:17:20.833; 7.1806E-07
1/14/2021;18:17:20.835; 7.1806E-07
1/14/2021;18:17:20.837; 3.5951E-07
1/14/2021;18:17:20.839; 7.1806E-07
1/14/2021;18:17:20.841; 3.5951E-07
1/14/2021;18:17:20.843; 3.5951E-07
1/14/2021;18:17:20.845; 7.1806E-07
1/14/2021;18:17:20.847; 3.5951E-07
1/14/2021;18:17:20.850; 7.1806E-07
1/14/2021;18:17:20.852; 3.5951E-07
1/14/2021;18:17:20.854; 7.1806E-07
1/14/2021;18:17:20.856; 1.0763E-06
1/14/2021;18:17:20.858; 3.5951E-07
1/14/2021;18:17:20.860; 3.5951E-07
1/14/2021;18:17:20.862; 1.2786E-09
1/14/2021;18:17:20.864; 7.1806E-07
1/14/2021;18:17:20.866; 3.5951E-07
1/14/2021;18:17:20.868; 7.1806E-07
1/14/2021;18:17:20.870; 3.5951E-07
1/14/2021;18:17:20.872; 1.7931E-06
1/14/2021;18:17:20.875; 3.5951E-07
1/14/2021;18:17:20.878; 3.5951E-07
1/14/2021;18:17:20.880; 3.5951E-07
1/14/2021;18:17:20.882; 1.0763E-06
1/14/2021;18:17:20.884; 1.4348E-06
1/14/2021;18:17:20.886; 7.1806E-07
1/14/2021;18:17:20.888; 3.5951E-07
1/14/2021;18:17:20.890; 3.5951E-07
1/14/2021;18:17:20.895; 3.5951E-07
1/14/2021;18:17:20.897; 1.4348E-06
1/14/2021;18:17:20.899; 1.2786E-09
1/14/2021;18:17:20.901; -3.5727E-07
1/14/2021;18:17:20.903; 7.1806E-07
1/14/2021;18:17:20.905; 7.1806E-07
1/14/2021;18:17:20.907; 1.0763E-06
1/14/2021;18:17:20.909; 1.7931E-06
1/14/2021;18:17:20.911; 7.1806E-07
1/14/2021;18:17:20.913; 7.1806E-07
1/14/2021;18:17:20.915; 7.1806E-07
1/14/2021;18:17:20.917; 3.5951E-07
1/14/2021;18:17:20.919; 1.2786E-09
1/14/2021;18:17:20.921; 7.1806E-07
1/14/2021;18:17:20.923; 3.5951E-07
1/14/2021;18:17:20.925; 3.5951E-07
1/14/2021;18:17:20.927; 1.4348E-06
1/14/2021;18:17:20.929; 7.1806E-07
