Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:45:56.993; 0.0076877
1/14/2021;19:45:56.995; 0.0076866
1/14/2021;19:45:56.997; 0.0076866
1/14/2021;19:45:56.999; 0.0076891
1/14/2021;19:45:57.000; 0.0076877
1/14/2021;19:45:57.002; 0.0076898
1/14/2021;19:45:57.004; 0.0076898
1/14/2021;19:45:57.006; 0.0076877
1/14/2021;19:45:57.008; 0.0076898
1/14/2021;19:45:57.010; 0.0076934
1/14/2021;19:45:57.013; 0.0076923
1/14/2021;19:45:57.015; 0.0076916
1/14/2021;19:45:57.022; 0.0076895
1/14/2021;19:45:57.028; 0.0076895
1/14/2021;19:45:57.031; 0.007688
1/14/2021;19:45:57.033; 0.0076884
1/14/2021;19:45:57.035; 0.0076884
1/14/2021;19:45:57.037; 0.0076891
1/14/2021;19:45:57.039; 0.0076895
1/14/2021;19:45:57.041; 0.007692
1/14/2021;19:45:57.043; 0.007693
1/14/2021;19:45:57.045; 0.0076934
1/14/2021;19:45:57.047; 0.0076923
1/14/2021;19:45:57.049; 0.0076923
1/14/2021;19:45:57.051; 0.0076905
1/14/2021;19:45:57.052; 0.0076909
1/14/2021;19:45:57.053; 0.0076909
1/14/2021;19:45:57.055; 0.0076905
1/14/2021;19:45:57.056; 0.0076895
1/14/2021;19:45:57.058; 0.0076891
1/14/2021;19:45:57.060; 0.0076887
1/14/2021;19:45:57.062; 0.0076916
1/14/2021;19:45:57.064; 0.0076927
1/14/2021;19:45:57.066; 0.0076923
1/14/2021;19:45:57.068; 0.0076923
1/14/2021;19:45:57.070; 0.0076916
1/14/2021;19:45:57.072; 0.0076934
1/14/2021;19:45:57.074; 0.0076941
1/14/2021;19:45:57.076; 0.007692
1/14/2021;19:45:57.078; 0.007692
1/14/2021;19:45:57.080; 0.007693
1/14/2021;19:45:57.081; 0.0076937
1/14/2021;19:45:57.083; 0.0076948
1/14/2021;19:45:57.084; 0.0076948
1/14/2021;19:45:57.086; 0.007693
1/14/2021;19:45:57.088; 0.0076937
1/14/2021;19:45:57.090; 0.007693
1/14/2021;19:45:57.091; 0.0076937
1/14/2021;19:45:57.093; 0.0076941
1/14/2021;19:45:57.095; 0.0076937
1/14/2021;19:45:57.097; 0.0076923
1/14/2021;19:45:57.099; 0.0076934
1/14/2021;19:45:57.101; 0.0076941
1/14/2021;19:45:57.103; 0.0076941
1/14/2021;19:45:57.105; 0.0076934
1/14/2021;19:45:57.107; 0.0076941
1/14/2021;19:45:57.109; 0.0076963
1/14/2021;19:45:57.111; 0.0076959
1/14/2021;19:45:57.113; 0.0076959
1/14/2021;19:45:57.115; 0.0076955
1/14/2021;19:45:57.117; 0.0076945
1/14/2021;19:45:57.119; 0.0076937
1/14/2021;19:45:57.121; 0.0076948
1/14/2021;19:45:57.123; 0.0076959
1/14/2021;19:45:57.124; 0.0076963
1/14/2021;19:45:57.126; 0.0076959
1/14/2021;19:45:57.128; 0.0076948
1/14/2021;19:45:57.130; 0.0076945
1/14/2021;19:45:57.132; 0.0076959
1/14/2021;19:45:57.134; 0.0076981
1/14/2021;19:45:57.136; 0.0076981
1/14/2021;19:45:57.138; 0.0076963
1/14/2021;19:45:57.140; 0.0076973
1/14/2021;19:45:57.142; 0.0076995
1/14/2021;19:45:57.143; 0.0077006
1/14/2021;19:45:57.145; 0.0076995
1/14/2021;19:45:57.147; 0.0076988
1/14/2021;19:45:57.149; 0.0076966
1/14/2021;19:45:57.151; 0.007697
1/14/2021;19:45:57.152; 0.0076991
1/14/2021;19:45:57.154; 0.0076984
1/14/2021;19:45:57.155; 0.0076977
1/14/2021;19:45:57.156; 0.0076963
1/14/2021;19:45:57.158; 0.0076955
1/14/2021;19:45:57.165; 0.0076955
1/14/2021;19:45:57.170; 0.0076981
1/14/2021;19:45:57.172; 0.0076952
1/14/2021;19:45:57.174; 0.0076948
1/14/2021;19:45:57.176; 0.0076941
1/14/2021;19:45:57.178; 0.0076948
1/14/2021;19:45:57.180; 0.0076948
1/14/2021;19:45:57.182; 0.0076955
1/14/2021;19:45:57.183; 0.0076966
1/14/2021;19:45:57.185; 0.0076977
1/14/2021;19:45:57.187; 0.0076988
1/14/2021;19:45:57.189; 0.0077002
1/14/2021;19:45:57.191; 0.0076995
1/14/2021;19:45:57.192; 0.0076995
1/14/2021;19:45:57.193; 0.0076991
1/14/2021;19:45:57.195; 0.0076991
1/14/2021;19:45:57.197; 0.0076999
1/14/2021;19:45:57.199; 0.0076991
1/14/2021;19:45:57.201; 0.0076984
1/14/2021;19:45:57.203; 0.0076966
1/14/2021;19:45:57.205; 0.0076963
1/14/2021;19:45:57.207; 0.0076973
1/14/2021;19:45:57.209; 0.0076981
1/14/2021;19:45:57.211; 0.0076966
1/14/2021;19:45:57.212; 0.0076981
1/14/2021;19:45:57.213; 0.0076973
1/14/2021;19:45:57.215; 0.0076981
1/14/2021;19:45:57.217; 0.0076959
1/14/2021;19:45:57.218; 0.0076955
1/14/2021;19:45:57.219; 0.0076945
1/14/2021;19:45:57.220; 0.0076941
1/14/2021;19:45:57.221; 0.0076941
1/14/2021;19:45:57.222; 0.0076945
1/14/2021;19:45:57.224; 0.0076945
1/14/2021;19:45:57.226; 0.0076952
1/14/2021;19:45:57.228; 0.0076937
1/14/2021;19:45:57.230; 0.0076937
1/14/2021;19:45:57.232; 0.0076941
1/14/2021;19:45:57.234; 0.0076959
1/14/2021;19:45:57.236; 0.0076963
1/14/2021;19:45:57.238; 0.0076963
1/14/2021;19:45:57.240; 0.0076955
1/14/2021;19:45:57.242; 0.0076937
1/14/2021;19:45:57.244; 0.007693
1/14/2021;19:45:57.246; 0.0076927
1/14/2021;19:45:57.248; 0.0076945
1/14/2021;19:45:57.250; 0.0076959
1/14/2021;19:45:57.252; 0.007697
1/14/2021;19:45:57.254; 0.0076952
1/14/2021;19:45:57.256; 0.0076945
1/14/2021;19:45:57.258; 0.0076948
1/14/2021;19:45:57.260; 0.0076955
1/14/2021;19:45:57.262; 0.0076966
1/14/2021;19:45:57.264; 0.007693
