Powermeter serial number; M00590490
Sensor serial number; 200924102
Sensor Type; Photodiode
Wavelength(nm); 485
Date (MM/dd/yyyy) ; Time of day (hh:mm:ss.fff); Power(W)
1/14/2021;19:22:57.858; 0.00032828
1/14/2021;19:22:57.860; 0.00032828
1/14/2021;19:22:57.868; 0.00032792
1/14/2021;19:22:57.873; 0.00032792
1/14/2021;19:22:57.875; 0.00032792
1/14/2021;19:22:57.877; 0.00032864
1/14/2021;19:22:57.879; 0.00032864
1/14/2021;19:22:57.881; 0.000329
1/14/2021;19:22:57.883; 0.000329
1/14/2021;19:22:57.885; 0.00032935
1/14/2021;19:22:57.887; 0.00032828
1/14/2021;19:22:57.889; 0.00032864
1/14/2021;19:22:57.891; 0.00032864
1/14/2021;19:22:57.894; 0.00032864
1/14/2021;19:22:57.896; 0.00032864
1/14/2021;19:22:57.897; 0.00032864
1/14/2021;19:22:57.899; 0.00032864
1/14/2021;19:22:57.901; 0.00032792
1/14/2021;19:22:57.903; 0.00032935
1/14/2021;19:22:57.905; 0.00032792
1/14/2021;19:22:57.907; 0.000329
1/14/2021;19:22:57.908; 0.00032828
1/14/2021;19:22:57.910; 0.00032828
1/14/2021;19:22:57.912; 0.00032792
1/14/2021;19:22:57.914; 0.00032756
1/14/2021;19:22:57.916; 0.00032756
1/14/2021;19:22:57.918; 0.00032792
1/14/2021;19:22:57.920; 0.00032792
1/14/2021;19:22:57.922; 0.0003272
1/14/2021;19:22:57.923; 0.000329
1/14/2021;19:22:57.924; 0.00032792
1/14/2021;19:22:57.926; 0.00032792
1/14/2021;19:22:57.928; 0.00032792
1/14/2021;19:22:57.930; 0.00032792
1/14/2021;19:22:57.932; 0.00032792
1/14/2021;19:22:57.933; 0.00032792
1/14/2021;19:22:57.935; 0.00032792
1/14/2021;19:22:57.936; 0.00032792
1/14/2021;19:22:57.938; 0.00032756
1/14/2021;19:22:57.939; 0.00032792
1/14/2021;19:22:57.940; 0.00032792
1/14/2021;19:22:57.941; 0.00032792
1/14/2021;19:22:57.943; 0.00032828
1/14/2021;19:22:57.944; 0.00032828
1/14/2021;19:22:57.946; 0.00032828
1/14/2021;19:22:57.948; 0.000329
1/14/2021;19:22:57.950; 0.00032864
1/14/2021;19:22:57.952; 0.00032756
1/14/2021;19:22:57.954; 0.00032792
1/14/2021;19:22:57.956; 0.00032828
1/14/2021;19:22:57.958; 0.00032828
1/14/2021;19:22:57.960; 0.0003272
1/14/2021;19:22:57.962; 0.000329
1/14/2021;19:22:57.964; 0.00032828
1/14/2021;19:22:57.966; 0.00032828
1/14/2021;19:22:57.968; 0.000329
1/14/2021;19:22:57.970; 0.00032828
1/14/2021;19:22:57.971; 0.00032828
1/14/2021;19:22:57.972; 0.00032792
1/14/2021;19:22:57.974; 0.00032792
1/14/2021;19:22:57.975; 0.00032864
1/14/2021;19:22:57.977; 0.00032792
1/14/2021;19:22:57.979; 0.00032756
1/14/2021;19:22:57.980; 0.0003272
1/14/2021;19:22:57.982; 0.0003272
1/14/2021;19:22:57.984; 0.00032756
1/14/2021;19:22:57.986; 0.00032828
1/14/2021;19:22:57.988; 0.00032792
1/14/2021;19:22:57.990; 0.00032792
1/14/2021;19:22:57.992; 0.00032792
